irc.servercentral.net Tue Dec 26 23:43:09 2006
#pspisoz 2
#wsu 3 http://www.youtube.com/watch?v=oFxrdbun7e8 | http://www.youtube.com/watch?v=oWflK8V1ERo
#evd 2
#mandrake 2
#level 3 [LeveL]
#vampcafe 4 That's so Welsh! I show you something fantastic, and you find a fault!
#WM2010 2
#lillestr¯m 3
#fredrikshald 3
#flisa 2
#Pyle 2
#sportsvogn.no 4 http://forum.200sx-ogn.org/album_pic.php?pic_id=1457 Pu pu pu pu pudding?
#imagevue 3
#gay24/7slavery 4
#creative 2
#dvdrs 6 back in business bitches ;p
#shellzone 6 Welcome To #SHellZone @ EFnet. trade is on, @/+v trusted ppl
#music-vidz 2
#cafeamistad 3 MERRY CHRISTMAS TO EVERYONE !!!!! FELIZ NAVIDAD PARA TODOS !!!!!!
#Uppsala 2
#ad 4
#zero 5
#omg_botwar 3
#metallica's^chat 3
#unreeled_vcd 1
#mandag 3
#fittetryne 1
#vlads 1
#Torsion 1
#najal 1
#Alpinveien 3
#Mordi 1
#ilder_kearva_test 2
#paka 2
#bakbak 2
#trivial 2
#superserver 2
#subserver 2
#sysrq 2
#apekatt 4
#macosx.no 1
#clan.sh 1
#PopQuiz 2 #PopQuiz #PopIdle... cheese for drunkards
#56k.dk 1
#opelpower.dk 2 www.opelpower.dk
#sgtfluffy 1
#oasis 3
#sockets 3
#wd-chat 1
#CLUB|RNB 1
#serenity 3
#kollen 2
#tiinamarsu 1
#hijak 1
#!void 1
#neskollen 1
#hejhopp 1
#genius 1
#releasecheck 1
#VmWarehelp 1
#2600gbg 2
#cvs 1
#pyrex 1
#f4fuck 1
#phpproject 1
#dupa 1
#sdfsd 1
#Ljutomer 1
#Hrvatska 1
#supergo 2
#u5 1
#dead-man 1
#GOTWAREZ? 1
#germanrelease 1
#OH.S#42.0 1
#luls 1
#FGE 3
#briskeby 4 KJEEEEDELIIIIIIIIG!
#gain 1
#ps3.se 2
#hacker.no 1
#darom 1
#berber 1
#bislet 1
#new-york 1
#bk 1
#carl-berner 1
#bruktbil 1
#slackhelp 1
#grimstad 1
#homansbyen 1
#majorstua 1
#The†Weakest†Link 2
#vestfossen 1
#BotenAnna 3
#Pc_GaMeZ 5 SERVERS NEEDED if you arent voiced for serving please message MAFIA_INC| to become an op you must be a reliable source and serve clean files only
#happyhippie 1
#-Asgaard- 2
#mb300e 1
#UserSupport 1
#PES 1
#uts 1
#eViBeZ 1
#test_koira 2
#kvr 3
#thezoo 3
#LSBOTS 1
#kinkysex 4
#care 4
#South-pc 1
#404 1
#z.race.Jippie 1
#COMEDY-XDCC-HIDDEN 1
#m4a_bots.+chan 1
#securitynews 2
#freelancers 1
#ohoihopiho 1
#ex-zeta 1
#blackbeatstars.storage 1
#hetland 1
#reaktor 1
#noisecamp 1
#baumhaus 1
#YouAreEmpty 1
#tombraider 1
#re4 1
#residentevil4 1
#competence 1
#elderscrolls 2
#darkmessiah 1
#mp3jabincheck 1
#norbits.quiz 1
#secretgarden 3
#wow.eu 1
#whereismybike 1
#snbelite 1
#winnerb‰ck 2
#zamosc 1
#rudeamerica 1
#hentaitrader 1
#thehaba 1
#enelegend 1
#newz.dk 3
#PimpStyle.dk 1
#ofa 1
#Hugobart 1
#0dayzserv 2
#gta:irc.inter.net.il 1
#schonwieder 3
#hippie 1 DAMN DIRTY HIPPIES!
#llfteam 2
#dancers.in.hell 1
#CyberMedie 2
#k1tsune 1
#teamsideways 2
#lambertseter 2
#waf 3
#dph 1
#motocross.no 5
#Digitaloipunk 1
#U.D.P 1
#nordfolk.net 2
#bnct3st 1
#lina'sroom 1
#electricity 1
#arrowz.net 2
#epf 2
#foxriver2 1
#isberget 1
#scm 1
#ntc-staff 1
#Kitt.Arthur 2
#morradi 3 det er liksom vinter nÂ, men ikke no sn¯ | GOD JUL og GODT NYTT≈R
#tsl 1
#edvard 1
#hunstad 1
#armada 2
#hiak 1
#interhost 1
#flatcubeisdead 1
#flatcubisdead 1
#rufuz 2
#depp 3
#ikt 2
#kristof 2
#linearg 2
#mind_Control 1
#l3w-game 1
#fletCube 1
#FD 1
#F.D 1
#FDDVD 1
#mossby 2
#reddevils 1
#Manchester†United 1
#underverse 1
#Anotherworld 2
#p¯lse 1
#jaddabadda 1
#tcltest 2
#it-natten 1
#DESTINY-TEAM 1
#bluebabes 1
#emcee 2
#hammers 1
#Kasogitsn 1
#NNS 2
#comart 3
#jajja 1
#The.Alliance 2
#uber_tv 1
#zlati 1
#daskmig 1
#sclubfans 1
#rsn 2
#elkj¯p 1
#roxbury 1
#iao 1
#gg 1
#djuttendjulatten 1
#plus44 2
#futurestation 1
#Cristi 1
#ankh 1
#shellprojekt2k5 2
#yesitishere 1
#norwaywireless 1
#hattrick.ch 1 http://photos1.blogger.com/x/blogger/5639/2020/1600/7340/murasakiimojpg.jpg
#ipv6.il 3
#liunx.no 1
#generetic 1
#MOKOMOKO 1
#lucifer-spam 1
#tou 2
#NITEBOTS 2
#SLNMAILS 2
#utedassensvenner 3
#farsan 4
#wiidev.fr 2 14,0[12,12_0,0_4,4_4,0 Channel2 FR4 de Dev Wii (no wawa)14][7 Chasse a la wii ouverte !][I want a Nintendo wi
#dokka-lan 1 http://dokka-lan.subdamage.net :: VI VIL HA WII!
#Free_Flow 1
#ADDiCTED-to-WRESTLiNG 2
#careface 2
#agr00-talk 1
#columbo 2
#miamidolphins 2
#rVs 1
#rekoil 1
#rocknroll 1
#KiRa 1
#victim 1 need more fish
#lanur 1
#HellRaiser 3
#d2lod 3
#heaven-eleven 1
#wastepirates 1
#puredjcrew 1
#imagevuex 1
#NoWeeD 2
#sherlox 2
#____ 1
#Pinni3 1
#circleofblood 1
#eftersnacket 1
#beperkt 1
#linuxguruz 1
#proxys 2
#proxies 2
#guruz 2
#linux-mandrake 2
#mandrake2 2
#Hamachi-Games 1
#thegreatspacecoaster 1
#c++.se 1
#cas 1
#NorwegianJackass 1
#profflisens 2
#schissbock 1 /j #chanel_no5
#oarg 1
#3on3 2
#m4rines-intern 1
#m4rines 1
#stressless 3
#kokosn¯tt 3 #(Q"§/Y)"#(§/)"#(§/ AGEGAEGAEGAEHAEHHAEHAEHAE AEHHAEHAEH AEH#("§/Y"#(=)/§ BHAWEHHAEAEHAEHHAEAE
#_mainframe 3
#vogler4 1
#vogler3 1
#impeachbush 3 http://www.youtube.com/watch?v=T7d_EoryNy4 - CNN *FINALY* stops sucking Bush's ass & kicks him in it, calls him the wort
#pdaru 4
#motorpsycho 1
#sargy 1
#friendsmpg 2
#MiNORiTY 1
#lost.se 1
#server12 2
#okka.linux 4
#UTBattleGround 1
#physica 2
#leaguez 1
#inc-clan 1
#HLstatsX 1
#giga-play 1
#giga-games 1
#giga-esports 1
#GIGA 1
#esl.alpen 1
#oldsk3wl-staff 1
#oldsk3wl 1
#oldsk3wl-SpAm 1
#wordblast 2
#livelyrics 1
#kiosk 1
#mXc 1
#japspam 3
#gentreau 1
#nulled 2
#film.se 1
#uk-opers 2
#MasterNap 1
#pooloomoo 1
#hci 1 HCI, Usability, etc
#uprightcitizensbrigade 2
#reaptest 2
#SzeneMusik 1
#purwokerto 12
#theclass 1
#theworldisyours 1
#wN-recruit 3
#grell 1 ape
#vivalla 2
#cjw1 2
#eurotrance 3
#warez-francais 1
#dc++network 2
#diablo2lod 2
#bus.vors 2 these boots are made for walking! | hoe hoe hoe! meeeerry christmas!
#UrbanChaos 3
#Ircgames 1
#PRE-H.Q 3
#p3pp3r 2
#GayExhibitonist 2
#GaySillyBoys 2
#GayCorpusChristi 2
#GayBar 2
#GayLosAngeles 2
#GayDay 2
#gh 3
#GaySanAntonio 2
#GayGalveston 2
#mmdims 1
#fault 1
#intensivstation 1
#op-ration 2
#i-l 1
#fg.360 1
#melmac-ops 2
#varsikin 1
#chimpanzeewarfare 1
#dont.whois.me.BiATCH 1
#h.m.s 1
#raccoon.city 1
#tbg-meeting 1
#bugstorm 1
#D21-intim 1
#final.ascii.art 1
#Tanke 1
#MoM-SPAM 1
#machinehead1 2
#mydbox 2
#tata 1
#freestyl 2
#vienna 2
#fintokcrew 1
#bouncer 1
#blob 1
#coverhq 2
#mytti 2
#symbian.c++ 1
#fr13nds 1
#__suck_my_pussy___ 1
#peuf 1
#bnc4u 2
#hostcore 1
#viprl 1 SIAMO TORNATI ANCORA PIU INCAZZATIÆ SUKARE DURO
#jakan 3
#fuckshop 1
#vivaco-lan 2
#netpower 1
#netpower.no 1
#netpower.cs 1
#titans.of.cs 2
#4xP 1
#demordatidas 1
#gng 2
#%^^JSNN_DDsad7778a1 3
#skivika 1
#starnet 2
#wacken 2
#fosenquiz 2
#blindfylla 2
#kirkebrenning 2
#Team-Perel 3
#dahmar 2
#tiller-vgs 2
#hundeparken 1
#hejhej 1
#skomakergata 1
#¯rmelen 1
#softgunforce 1
#diablo.no 1
#hell2earth 4
#webonnet 1  www.WebonNet.dk - Her sker snart noget, stay tuned - God jul - www.WebonNet.dk 
#ps3.de 3
#gfr 1 http://eng.supercard.cn/soft_scl.htm
#nashmid 1
#torchon 2
#xpeedio 1
#mesa 2
#undernet 1
#EOL_Nl 2
#Eol 2
#hamster 1
#antispam 1
#smcrew-ops 1
#424 1
#tu-berlin 1 // www.tub-informatik.de //
#et.psychedelia.dk 1
#hvemvilvÊremillionÊr 1
#HasHIsHen 2
#helios 1
#hihan 1
#ZONEFORUM 1
#partykillarna 1 Work sux, and then you die
#edit_x1 1
#edit_x 1
#bithunter 2 Lamers channel :)
#Terminal.Storage 1
#ipa 3
#/<thx 2
#hsvchat 1
#!mafia 1
#jvp 1
#LoS-BoTiJoS 1
#/rmp3 1
#komradio 1
#frekvens 1
#polisradio.larm 1
#wpww 1 white pride world wide!
#ct3380 2
#roulettewasabi 1
#manticore 2
#dcv 6
#x-reflex 2
#seashell.area51 7
#epochcoffee 1 fuck corporate coffee
#sven-coop 2
#onlajn 2
#if-2/8 1
#fuck_norway 1
#zing 1
#DDRsunndal 2
#ps3-gaming 2
#malden 2
#jthm 2
#juniks.net 2 Vi kallar den ehhhhhhh Thetta. .. som ni ser moÂnne (C)
#micro 1
#larra 1
#dvÊrg 4
#vktv 4
#no-fake 4
#triviasis 4
#HiB 4
#doombringers 4
#nord-tr¯ndelag 4
#Gjersj¯en 4
#verdals¯ra 4
#vera 4
#desertcombat 4
#poltergeist 4
#slednecks 4
#cs.vktv.no 4
#vÊrstingan 4
#rÂnebilfestival 4
#reinsholm 4
#beviet 4
#kung-fu 1
#EGN.se 1
#egn.test 1
#cunts 1
#fc-factor 1
#Sec.Org.il 1
#eejit 1
#^0.nur.wixer.hier.0^ 1
#heartofdarkness 1
#phatfarm 1
#AUDIO-XDCC 2
#tux 1
#torrent.no 1
#cnxl33t 1
#grej 2 hyshhysh
#PowerMetal 6 www.swedenrock.com...Gul Jod!
#bbm 1
#yerk 1
#newzbin 5 www.uhort.no/moduler/download.php?id=16300 | www.newzbin.com | www.newzxxx.com | www.giganews.com/?c=gn319392
#lubbers 1
#FireRama 1
#love4u 1
#Trance^ 1
#GORILLAZ 1
#Mp3Fun 1
#develop 1
#phptriks 1
#we.are.some.of.the.leaders.on.the.motherpla.net 5
#neonsky 1
#torrents 1
#mail 1
#medge 1
#iisxpl 1
#levanger-adsl 1
#natural.born.hackers 1
#Tp3b 2
#tefladjfoejrej 1
#ibood 1
#tdfrenzy 1
#fig 5 .: Velkommen til Fagskolen i Gj¯vik - http://fagskolen.gjovik.no/ :.
#skrall 1
#bato 2
#IRCA 2
#mtgpirates 1
#pokerwacky 1
#azmtg 1
#l'#krtek 1
#tut 1
#rnb4real 2 RNB - 4 - REAL
#looserpcw 2
#stempelclub 2
#RipLand 1 hAppY x-mAS 4 aLL
#trainingdj 1
#fluppo 1
#irc.efnet.no 4
#wasterworld 2
#wasterhome 2
#skipped 2
#trademp3 2
#trademain 2
#trade0day 2
#cacti 1
#facelesswarriors 2
#munmusaa 1 13 8,0`%0,8%,7,8`%8,7%,4,7`%7,4%,5,4`%4,5BF2.FI9,15,4`%5,45,4`%4,68,7%,4,7`%8,7%,7,8`%0,8%,8,0`%
#meadow 1 m.. .  .e  . ..a       d.. .   . o.  .  . ..w
#kfo 1
#seminar 1
#Leykis101 1
#BlowMeUpTom 1
#Leykis 1
#gcw-radio 2 -= The GC's Irie Iradio Resort =- http://the-irie-gcats.org/wordpress/
#heiamons 3
#webcam 1
#uconn 1
#trailertrash 1
#domma_cam 1
#ct 3
#-=warez=- 1
#objc 1
##c 1
#patriot 5 http://youtube.com/watch?v=fCo0_ldTYVk
#bclone 1
#gerpre 1
#becks-clan 1
#toxito 2  <Stretto> Ï‡ ·¯Â¯ ÏÓ‰ Ï‡ ÈÎÏÂ ÏÚ˘Â˙ „ÈÒ˜ÂË ¯˜Â· ÈÂ˙¯
#bmwe30 2
#mbox 1
#wohnzimmer 1
#Orgasming 1
#pinkorder 1
#eggo 1
#kommunekemi 1
#clanxe 2
#hackhard 2 http://www.toptube.se/view.php?id=136 
#fanboy.at 5 #fanboy.at - www.fanboyblog.com - die heimat der fanboys - Frˆhliche Wiinachten
#wix 1
#GROV 1
#vcdworld 2
#JarreFan 2
#shiroi 2
#MediaShells 2 Welcome ! www.MediaShells.Net ~ All your server and shell needs under one roof ~ = use: !menu for EN or !meniu for RO =
#more 1
#symbian.ops 3
#FilmNet 2
#SecretVidz 1
#wonderlandadmin 1
#CDUPE 2
#explode 2
#donbon 1
#israel30+ 3
#irc.inter.net.il 10
#irc.ipv6.inter.net.il 5
#lafa 5
#mac-il 1
#flexzone31 2
#nudel0r 1
#eleusis 1
#torpor 1
#Site-checker 1
#annatest 1
#styx 1
#evc 1
#crackz2000 1
#knackwurst 1
#evidence 1
#evcpda 1
#dividebyzero 1
#mag 1
#lilith 1
#dbz-staff 1
#hospital 1
#evc-cracks 1
#Conlang 1
#tacos 1
#TestLobby 1
#!ethics 1
#bikini-girls 1
#console4fr 2
#wmz 2
#freebsdonirc 1  -- HELP FOR THOSE WHO NEED IT -- http://FreeBSDonIRC.org/ -- Also on undernet
#akai 3
#blvportal 4
#sfeertjefm 2 geef je poen!
#DS2_Spam 1
#ml3zone 3
#xs4all 2
#hb.net 1
#dojaro 1
#blubber 2
#cc-stro 3
#coso 2
#ADRENAL1N-talk 1
#STW 1
#CYA 1
#dendrite 1
#h0ward 2
#powerball 1
#powerball-0day 1
#powerball-admin 1
#lanbox 2 Official LanBox Support Channel -- www.lanbox.com
#die-sekte 1
#rusties 2 Rust Radio online! (playing: random complete shows)
#omfghi2urawrbbq 1
#vorc.org 1
#NNG-TEAM 2
#pellenium 1
#Yael 1
#beatforge 1
#detain 1
#humanist 2
#ranheim 2
#1134 1
#capoeira 1
#fzpcodclan 3
#eap 1
#multilan 3
#genesispower 1
#reflux-dev 1
#reflux 1
#EmuUnlim 1
#linux.nu 1
#toto 2
#DriftFury 2 #driftfun // #dcn -+- Drift Fury Taking it to the next Level! -+- Bumpibj¯rnene roxx0rs
#br¯nn¯ysund 1
#ivrmanager 1
#[master] 1
#p¯ls 1 .:: #p¯ls e bÊst pÂ vara, Â sexerier <33      VILLJ DU HA?!
#loopback 1
#robotaisen 3 petit papa nouel...
#info123db 1 dette suger jo svinepels
#Nord-Norge 1
#GoH-staff 1
#GoH-shit 1
#GoH-oem 1
#GoH-news 1
#News-lines 1
#thetechnews 1
#lflv 2
#karsklaget.com 1
#efnet.as 1
#bowman 1
#pornopung 1
#sjonstock2004 1
#pep51! 2 Ohjeita !ohje
#nl-news 1
#todiefor 2
#rec.scuba 2 http://www.simplyscuba.com/ProductDetails.aspx?StockID=14555
#remajachat 1 infected channel. /j #dmsetup for removal help or get a new mirc: http://www.mirc.com
#c0nf 1
#phing 1
#legal? 1
#mela 4
#settlers 4
#0-8-1-5 1
#Vagabunden 1
#TAKEN 1
#narr 1
#T-C-P 4 irc.wondernet.nu +6000
#2+2 1
#p2p 1
#lotr.mp3 1
#gbz 1
#hen9girl 2
#de_inferno 1
#solonie 1
#stefan 2
#mswinxp 1
#purewarez 1
#2102 1
#hackedbc 1
#Pranks 3
#discogschat 2
#CyberGenie 1
#messiah3d 1
#Lightwave8 1
#spider 1 Hamster p√• amfetamin-internett-underholdningsprogram!
#stokmarknes 2
#2pacmp3serv 4
#varkaus 6 Joulu
#Âsane 4 Fint vÊr  har noen en bot til lÂns? :)
#newbieNET 1 http://www.newbienet.org
#kekeke 4 to Âr tord...to Âr -toh [654 dager] || NO! | god jul sirs!
#triggerhappybankickers 3
#q-tips 3 and now, we're inactive
#apcsolutions 2 www.apcsolutions.us
#eslˆv 1
#umdcomp 2
#night 2
#hotjezus 1
#ikhost 1
#oppdal 9 god kryss-messe
#Gamezone 2
#footman 2
#assitown 1
#gola.tv 2
#asdfasdf 4
#psp-linux 2
#ATC 3
#tirsdag 3
#linuxpl 3
#q8coast 1
#drumandbass.ru 2
#bulka 3
#spbdnb.ru 2
#ubcstaff 2
#myhomechan 1
#gayhouston 4
#dbQ 6 www.dbQ.no
#grinchen 2
#vaerste 7 VÊlk¯min tÊll kanals... <>-------------------- Input topic here! <>--------------------
#vikinfo 1
#rolf2 1
#hˆrby 1
#DarkOps 1
#Kiff-Shells 1
#Free-Linux-Shells 1
#Hˆˆr 1
#CPX 2 We are back to rule the scene once again! PWN
#akula 1
#prankcallradio 2
#innovated.Menaces 2
#gb-lite 2
#andi 2
#Tithax 2
#nordkapp 1
#sploits 1
#xtest 1
#psy.se 3 w33d g0t th3 p0w3r aga1n!
#slackwarez 2
#worldpeace 2
#ncurses 3
#curses 2
#CSE 5
#Zippo3k 1
#twistedbots 1
#fuckz0r 3
#nitofhv 2 topic ffs
#manbearpig 4 http://sgx.sysrq.no/misc/manbearpig.jpg
#pbr1h6 2 http://www.youtube.com/watch?v=T8U71OtJQ8I&mode=related&search=
#TheMiddleEarth 1
#LD50.SE 3
#A.C.A.B 3
#norskescortregister 3
#!xaoc 2
#that'70sshow 2
#tuta 3
#dreamboxx.nu 1
#Hi-Five 1
#Public.Annoucement 1
#Gerald.Levert 1
#Donell.Jones 1
#Keith.Sweat 1
#Sam.Salter 1
#z-idle 1
#Monica 1
#Big.Bub 1
#Teddy.Riley 1
#AALIYAH 1
#natural-high 1
#Administrator 2 (Ø`∑.∏∏.-> Æ© Welcome To Administrator©ô Æ <-.∏∏.∑¥Ø) 
#psyzoidisawesome 2
#g-a-n-t 1
#kindergarten 2
#secret_place 1
#SVCD-XDCC 2
#nask 1
#vvr 1
#timer3k 1
#testsjov 1
#Glassbil-Poker 1
#koekie 4
#coav 1
#fad 1
#nightzone 1
#darkzone 1
#arschloch 1
#westcoastrap 1
#Xevcom 3 Welcome to Xevcom IRC Channel
#Samarkandsworld 3 Welcome to Samarkandsworld IRC - Please visit our channel on irc.rizon.net server!
#Pictou 3
#uwg2k 3
#bb.se 1
#muf 1
#future:x 1
#future-x 1
#cerebri 1
#dreamhack-ftp 1
#fulkod 2
#brokensword3 1
#blackmirror 1
#lunarstorm 1
#bozzmusic 1
#collapse 5 perhaps the evil would be not do what your mind and heart tells you
#z52 3
#retarded 2 4#Retarded -FellaZ: Do you think it was you who decided to come here? | Rustee: Ja, visst faen!
#fiverivers 2
#stdout 3 Carl-Fredrik Bjˆrck avled morgonen den 11 december. Vi saknar dig!
#sagetree 5 RIP Jeane Kirkpatrick
#smallville-heaven 2
#p00n 2 3fn3t is teh pl4ce t0 b333
#Bimba 1
#pi8guys 3
#ratpack 2
#wow.se 5
#aielwaste 1
#aloo 2
#mathe-ass 3 Yo hab die lˆsung bekommen @ brat : Prof meint, es ist nicht so schlimm das die 2 nicht drinn ist! Ist ja nur ein ELemen
#informatikk 1
#mtdt 9 Meri Kurisumasu | http://www.mucl.de/~erich/web20christmas/
#whine 3
#abakus 4 Gratulerer med dagen, Michael :) 
#bantown 1
#alwaysonline 2
#divx-sverige 3
#mrmodchips 1
#newjackcity 1
#ungga 1
#thelostone 1
#freetekno-cz 3
#gallaudet 2
#trem 2
#harmonix 2
#koinkoin 2
#x-mas 4 Christmas 2006!
#bde 1 BdE, tr‰d fram ur gˆmmorna!
#EQCombine 2
#Village 2
#Commanderkeen 2
#flyg 3
#battlehymn 2
#Ravendark 2
#Jarez 2
#freeisositeopz 2
#freeisoops 2
#condemned 4
#gaymich 1
#frebbsd 3 http://www.google.se/support/jobs/bin/answer.py?answer=54944
#meta 2
#supelec 2
#gisstest 2
#global-central 4 THO up till Dec 25th then shut down till Jan 07 so get what u need NOW...
#sum41news-fr 1
#cnn-live 1
#sAKEr 1
#pyse 1
#katastrofe 1
#gaffa 1
#jubel 1
#sukkogst¯nn 1
#ntb 1
#pils.no 2
#istid-admin 2
#istid 2
#scream 3 Nytt offtopic: http://screamofftopic.20.forumer.com/
#freeport 3
#kth 1
#messarround 1
#rh-se 1
#hemmet-attackbastu 1
#amokcoding 2 amok ownz
#lightning-crew 2
#warhammer-online 1
#utrolig 5 Frez er GEEK fordi han ikke skal pÂ tg
#realjava 2
#hynda 3
#morad 2
#old-friends 3
#area_51 3
#hammerwiki 2
#fastford.no 6
#learndutch 5
#flightsim 5 ~raggsokk.net | "I reject your reality and substitute my own." - Adam Savage
#simultoke 3 kaso taisho <3
#movie-empire_op 1
#ling 2
#darkbits 2
#bob 1
#red_light_district 1
#gafalia 1
#olaglig.net 2
#porngrind 3 :: PORN GRIND :: RIP Robert, de ouwe porngrinder.. // VANMORGEN ZOOG ZE NOG
#videopac 4 James Brown is Dead!
#fsbots 2
#bazooka 1
#PPNorway 1
#ambj¯rnr¯d 1
#kvernhuset 2
#noroff 1
#inthegroove 1
#nodus 1
#parapara 1
#savegame.no 1
#okka 3
#br‰nnboll 3
#sexuel 1
#scoobygang-central 1
#lano 1 i am ninja
#mortalz.lan 1
#rlspuker.games 2
#rlspuker.movies 2
#rlspuker.music 2
#rlspuker.tv 2
#rlspuker.utils 2
#cheetah-tv 2
#wallflower 1
#bungeeboy 1
#uberminx 1
#netniv 1
#dna- 2
#hkl.se 2
#GOATimes_Nest 1
#jporn 4 http://www.jporn.co.uk - Made of win and hawt
#exuberance 2
#actalan 5 DÂ va actalan fullt for denna gongen. For mer info, sjekk websidene -- actalan.no-ip.org
#jb|clan 4 Server ip - 82.103.135.24:27015 / 100mbit.titboy.dk
#taimy 1
#cephalectomy 2 new cheesey video : www.cephalectomy.com
#nyn‰shamn 1
#telit 1
#pjatt 3
#lalaland.no 4 http://www.lalaland.no - In this land we dance!
#vestfold 5
#Flint 3
#uvivu 2
#quakefr 2
#bashop 2
#ostepop 4
#mif 2 MIF MIF MIF
#myspamchannel 1
#muh 2
#DGTEST 2
#CFS 3 Chronic Fatigue Syndrom & the like... http://notdoneliving.net/foothold/ http://www.cdc.gov/cfs/
#apkalas 3
#4real 3
#otaking 2
#unknownunderground.com 5
#olvakt 1
#xormkay 1
#3dart 1
#sexpics 1
#bifemsex 1
#scimitar 3 aridweed & cro presents - motˆrascii ascii collection ftp://ftp.untergrund.net/users/vouck/awd-cro-mot.txt
#nl-mac 2 It was just a playful jab!
#equali 1
#BritainRules 2
#dragon-inn 5
#freevo-fred 3
#NetBSD.se 3
#freebsd.nl 3
#djsource 4
#odxdev 4
#livesets 4
#!/usr/local 4
#discogs 4 FIND US IN #DDANCE , this is an unactive chan!!! :: http://www.ddance.fm
#ereignishorizont 2
#WWEtalk 3
#ÙÂÏÈËÈ˜‰ 2
#eliturgh 1
#plbopm 3
#samochody 4 www.kalmus.pl (no wykapany tata :)
#fedora-noob 4
#why.do.you.whois.me? 4
#KillerPlace 4 http://www.jafa-racing.net
#dasneueforum 2
#truncode 3 http://freehost14.websamba.com/neotrix/sudden_death/death.html
#sec 2
#kfc 2
#tester666 1
#kc 3
#eq2-bremen 1 Frohe Weihnachten miteinander
#osl-Pre1 4
#osl-Prespam1 5
#bathroom 1 http://www.easyfruit.co.uk/lemons/ 
#Tesla.cz 2 Vesele Vanoce a stastny novy rok 2007:-)
#vapour.ca 2 qbert: /msg gus
#vapour 2
#xdcc-vidz 4
#youpies-besac 4 Joyeux NoÎl
#adr-uk 4 Welcome to ADR-UK | Triggers !downloads !ps2 !xbox !360 | RIP Divine co-founder of ADR UK
#gotgrub 1
#ucla 2
#J2J2J2 2
#rugby 5 http://tinyurl.com/yzfeb5
#phatbuzz 6 ALESIA? ICH KENNE KEIN ALESIA!
#0dayrecruits 3
#dsnow 2
#ndsnow 2
#ps3saves 2 http://www.ps3saves.com
#mameox 3
#teknap 2
#sociology 4 I make it raw.
#thg 4
#parkson 9 <ANol> aku compile sendiri tau x, <ANol> susah giler eggdrop nie <- susah? wtf! HAHAHAHAHAHA
#mirageforums 2 Hang around...chat a bit
#tg-root 2
#funny 3
#blasolol 3
#triviant 5 Welcome to #triviant type !start to start
#Lieve-aap 3
#lsk 2 LSK
#stepmania 1
# 4
#cc-power 1
#AnalPompetang 3 Gratz:D
#magenta 2
#crimelords 1 gone
#robotics 2
#the-two 1
#jessica-alba 1
#shrubbery 1
#xffx 6
#laiv.org 1 Denne kanalen er herved erklÊrt d¯d! Takk for meg. Spike!
#openxdk 2
#MobiToc.no 3
#tripletwo-staff 2
#villiblikket 2
#flyfreaks 2
#4m7a8s9t12e11r6j7m 1
#diablo2.de 1
#mc≤ 1
#infect3d 2
#penismightier 1
#bajsmaffian 4 http://gp.se/gp/jsp/Crosslink.jsp?d=130&a=315865 RYSSLAND <3 4M3e4r3r4y 3C4h3r4i3s4t3m4a3s4!
#serbia 5 albateam own this
#vietcong-coop 3
#ciz-shells 1
#cyberspace.no 1
#jazzhj¯rna 1
#littlebrother 1
#crew.mj¯slan 2
#longboard 2
#replica 1
#joti 2 JOTI is going on! DO: /server irc.scoutlink.net
